"Genes","Scores","Type","Description"
"ELOA3BP","0.000001036","Peripheral","elongin A3 family member B, pseudogene"
"MC5R","0.000001036","Peripheral","melanocortin 5 receptor"
"CNTNAP1","0.000001036","Peripheral","contactin associated protein 1"
"TFDP2","0.000001035","Peripheral","transcription factor Dp-2"
"FUZ","0.000001035","Peripheral","fuzzy planar cell polarity protein"
"UCP2","0.000001035","Peripheral","uncoupling protein 2"
"PACSIN1","0.000001034","Peripheral","protein kinase C and casein kinase substrate in neurons 1"
"NTPCR","0.000001034","Peripheral","nucleoside-triphosphatase, cancer-related"
"PES1","0.000001033","Peripheral","pescadillo ribosomal biogenesis factor 1"
"NHEJ1","0.000001033","Peripheral","non-homologous end joining factor 1"
"MGAT3","0.000001033","Peripheral","beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"NR6A1","0.000001031","Peripheral","nuclear receptor subfamily 6 group A member 1"
"NAP1L4","0.00000103","Peripheral","nucleosome assembly protein 1 like 4"
"LRP5L","0.00000103","Peripheral","LDL receptor related protein 5 like"
"CLXN","0.00000103","Peripheral","calaxin"
"RPL10A","0.00000103","Peripheral","ribosomal protein L10a"
"EVC","0.000001029","Peripheral","EvC ciliary complex subunit 1"
"PAGR1","0.000001029","Peripheral","PAXIP1 associated glutamate rich protein 1"
"KCNAB2","0.000001029","Peripheral","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"WDR75","0.000001029","Peripheral","WD repeat domain 75"
"HPD","0.000001029","Peripheral","4-hydroxyphenylpyruvate dioxygenase"
"PAIP1","0.000001028","Peripheral","poly(A) binding protein interacting protein 1"
"TTC19","0.000001028","Peripheral","tetratricopeptide repeat domain 19"
"IMPDH1","0.000001027","Peripheral","inosine monophosphate dehydrogenase 1"
"GFUS","0.000001027","Peripheral","GDP-L-fucose synthase"
"RAB40C","0.000001027","Peripheral","RAB40C, member RAS oncogene family"
"SIX1","0.000001026","Peripheral","SIX homeobox 1"
"SLC7A5","0.000001026","Peripheral","solute carrier family 7 member 5"
"CSNK1A1L","0.000001026","Peripheral","casein kinase 1 alpha 1 like"
"GPR88","0.000001026","Peripheral","G protein-coupled receptor 88"
"TRPV2","0.000001025","Peripheral","transient receptor potential cation channel subfamily V member 2"
"RRP1","0.000001025","Peripheral","ribosomal RNA processing 1"
"CNOT6L","0.000001024","Peripheral","CCR4-NOT transcription complex subunit 6 like"
"FBXO6","0.000001024","Peripheral","F-box protein 6"
"BIRC8","0.000001023","Peripheral","baculoviral IAP repeat containing 8"
"CPSF4L","0.000001023","Peripheral","cleavage and polyadenylation specific factor 4 like"
"GPD2","0.000001023","Peripheral","glycerol-3-phosphate dehydrogenase 2"
"SPDYE1","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member E1"
"SPDYE4","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member E4"
"SPDYE3","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member E3"
"SPDYC","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member C"
"SPDYE2","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member E2"
"SPDYE2B","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member E2B"
"SPDYE6","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member E6"
"SPDYE5","0.000001023","Peripheral","speedy/RINGO cell cycle regulator family member E5"
"C17orf80","0.000001023","Peripheral","chromosome 17 open reading frame 80"
"PIWIL4","0.000001021","Peripheral","piwi like RNA-mediated gene silencing 4"
"UGDH","0.000001021","Peripheral","UDP-glucose 6-dehydrogenase"
"YARS1","0.000001021","Peripheral","tyrosyl-tRNA synthetase 1"
"ATP5MC2","0.000001021","Peripheral","ATP synthase membrane subunit c locus 2"
"MIEF2","0.000001021","Peripheral","mitochondrial elongation factor 2"
"KLK1","0.000001021","Peripheral","kallikrein 1"
"ZC3H6","0.00000102","Peripheral","zinc finger CCCH-type containing 6"
"NCOA7","0.000001019","Peripheral","nuclear receptor coactivator 7"
"PEX7","0.000001019","Peripheral","peroxisomal biogenesis factor 7"
"CLNS1A","0.000001019","Peripheral","chloride nucleotide-sensitive channel 1A"
"FCGR1BP","0.000001019","Peripheral","Fc gamma receptor Ib, pseudogene"
"CD207","0.000001019","Peripheral","CD207 molecule"
"EPB41L3","0.000001018","Peripheral","erythrocyte membrane protein band 4.1 like 3"
"ZC3H4","0.000001018","Peripheral","zinc finger CCCH-type containing 4"
"ZC3H14","0.000001018","Peripheral","zinc finger CCCH-type containing 14"
"ENTPD6","0.000001018","Peripheral","ectonucleoside triphosphate diphosphohydrolase 6"
"CLINT1","0.000001018","Peripheral","clathrin interactor 1"
"SOX21","0.000001018","Peripheral","SRY-box transcription factor 21"
"SH3PXD2B","0.000001018","Peripheral","SH3 and PX domains 2B"
"PYDC2","0.000001018","Peripheral","pyrin domain containing 2"
"SPOCK3","0.000001018","Peripheral","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3"
"FOXE1","0.000001017","Peripheral","forkhead box E1"
"ENO4","0.000001017","Peripheral","enolase 4"
"INCA1","0.000001016","Peripheral","inhibitor of CDK, cyclin A1 interacting protein 1"
"PGK2","0.000001016","Peripheral","phosphoglycerate kinase 2"
"RDH13","0.000001016","Peripheral","retinol dehydrogenase 13"
"RPL18","0.000001015","Peripheral","ribosomal protein L18"
"PROKR1","0.000001015","Peripheral","prokineticin receptor 1"
"ATP1B1","0.000001015","Peripheral","ATPase Na+/K+ transporting subunit beta 1"
"MIOS","0.000001015","Peripheral","meiosis regulator for oocyte development"
"ATP5MC3","0.000001014","Peripheral","ATP synthase membrane subunit c locus 3"
"PMS1","0.000001014","Peripheral","PMS1 homolog 1, mismatch repair system component"
"IMP4","0.000001013","Peripheral","IMP U3 small nucleolar ribonucleoprotein 4"
"ZNF106","0.000001013","Peripheral","zinc finger protein 106"
"BMP8A","0.000001012","Peripheral","bone morphogenetic protein 8a"
"DSCAML1","0.000001012","Peripheral","DS cell adhesion molecule like 1"
"PAPOLB","0.000001012","Peripheral","poly(A) polymerase beta"
"TMEM199","0.000001012","Peripheral","transmembrane protein 199"
"MSANTD3-TMEFF1","0.000001012","Peripheral","MSANTD3-TMEFF1 readthrough"
"F8A2","0.000001011","Peripheral","coagulation factor VIII associated 2"
"PADI4","0.000001011","Peripheral","peptidyl arginine deiminase 4"
"TFPI","0.000001011","Peripheral","tissue factor pathway inhibitor"
"MNT","0.00000101","Peripheral","MAX network transcriptional repressor"
"WHRN","0.00000101","Peripheral","whirlin"
"GPN2","0.000001009","Peripheral","GPN-loop GTPase 2"
"CNOT2","0.000001009","Peripheral","CCR4-NOT transcription complex subunit 2"
"SZT2","0.000001008","Peripheral","SZT2 subunit of KICSTOR complex"
"RBM19","0.000001008","Peripheral","RNA binding motif protein 19"
"CIZ1","0.000001007","Peripheral","CDKN1A interacting zinc finger protein 1"
"ECHDC1","0.000001007","Peripheral","ethylmalonyl-CoA decarboxylase 1"
"NPSR1","0.000001007","Peripheral","neuropeptide S receptor 1"
"PURB","0.000001006","Peripheral","purine rich element binding protein B"
"ALPI","0.000001005","Peripheral","alkaline phosphatase, intestinal"
"ALG9","0.000001005","Peripheral","ALG9 alpha-1,2-mannosyltransferase"
"DHX40","0.000001005","Peripheral","DEAH-box helicase 40"
"SDAD1","0.000001005","Peripheral","SDA1 domain containing 1"
"ITFG2","0.000001004","Peripheral","integrin alpha FG-GAP repeat containing 2"
"KICS2","0.000001004","Peripheral","KICSTOR subunit 2"
"KPTN","0.000001004","Peripheral","kaptin, actin binding protein"
"AADAT","0.000001004","Peripheral","aminoadipate aminotransferase"
"ZNF260","0.000001003","Peripheral","zinc finger protein 260"
"CASTOR2","0.000001003","Peripheral","cytosolic arginine sensor for mTORC1 subunit 2"
"CCNL1","0.000001003","Peripheral","cyclin L1"
"ANKFY1","0.000001003","Peripheral","ankyrin repeat and FYVE domain containing 1"
"CWC25","0.000001002","Peripheral","CWC25 spliceosome associated protein homolog"
"DALRD3","0.000001002","Peripheral","DALR anticodon binding domain containing 3"
"CNOT11","0.000001001","Peripheral","CCR4-NOT transcription complex subunit 11"
"FCHSD2","0.000001001","Peripheral","FCH and double SH3 domains 2"
"ENTPD4","0.000001001","Peripheral","ectonucleoside triphosphate diphosphohydrolase 4"
"LRRC9","0.000001","Peripheral","leucine rich repeat containing 9"
"MTMR9","9.998e-7","Peripheral","myotubularin related protein 9"
"CNOT10","9.997e-7","Peripheral","CCR4-NOT transcription complex subunit 10"
"RPP25L","9.984e-7","Peripheral","ribonuclease P/MRP subunit p25 like"
"MGMT","9.98e-7","Peripheral","O-6-methylguanine-DNA methyltransferase"
"ABCA7","9.976e-7","Peripheral","ATP binding cassette subfamily A member 7"
"SYF2","9.974e-7","Peripheral","SYF2 pre-mRNA splicing factor"
"PARN","9.973e-7","Peripheral","poly(A)-specific ribonuclease"
"PHIP","9.972e-7","Peripheral","pleckstrin homology domain interacting protein"
"F5","9.971e-7","Peripheral","coagulation factor V"
"ZNF597","9.969e-7","Peripheral","zinc finger protein 597"
"CLEC4G","9.967e-7","Peripheral","C-type lectin domain family 4 member G"
"NOL10","9.967e-7","Peripheral","nucleolar protein 10"
"ENTPD5","9.967e-7","Peripheral","ectonucleoside triphosphate diphosphohydrolase 5 (inactive)"
"SULF2","9.966e-7","Peripheral","sulfatase 2"
"SFRP1","9.965e-7","Peripheral","secreted frizzled related protein 1"
"PTGER2","9.958e-7","Peripheral","prostaglandin E receptor 2"
"ATMIN","9.949e-7","Peripheral","ATM interactor"
"PIGU","9.945e-7","Peripheral","phosphatidylinositol glycan anchor biosynthesis class U"
"ZNF81","9.94e-7","Peripheral","zinc finger protein 81"
"ZNF41","9.94e-7","Peripheral","zinc finger protein 41"
"ZNF157","9.94e-7","Peripheral","zinc finger protein 157"
"GSAP","9.94e-7","Peripheral","gamma-secretase activating protein"
"CELF1","9.935e-7","Peripheral","CUGBP Elav-like family member 1"
"SPATA7","9.929e-7","Peripheral","spermatogenesis associated 7"
"RPL13","9.928e-7","Peripheral","ribosomal protein L13"
"BMP8B","9.926e-7","Peripheral","bone morphogenetic protein 8b"
"MYOT","9.918e-7","Peripheral","myotilin"
"SCO2","9.917e-7","Peripheral","synthesis of cytochrome C oxidase 2"
"RNF6","9.916e-7","Peripheral","ring finger protein 6"
"JMJD1C","9.916e-7","Peripheral","jumonji domain containing 1C"
"TYRP1","9.914e-7","Peripheral","tyrosinase related protein 1"
"BCKDK","9.913e-7","Peripheral","branched chain keto acid dehydrogenase kinase"
"LTV1","9.91e-7","Peripheral","LTV1 ribosome biogenesis factor"
"KCNE4","9.906e-7","Peripheral","potassium voltage-gated channel subfamily E regulatory subunit 4"
"DDX31","9.903e-7","Peripheral","DEAD-box helicase 31"
"CASTOR1","9.901e-7","Peripheral","cytosolic arginine sensor for mTORC1 subunit 1"
"RINT1","9.898e-7","Peripheral","RAD50 interactor 1"
"CALHM1","9.885e-7","Peripheral","calcium homeostasis modulator 1"
"PRPH2","9.885e-7","Peripheral","peripherin 2"
"ELL2","9.877e-7","Peripheral","elongation factor for RNA polymerase II 2"
"DEFB1","9.877e-7","Peripheral","defensin beta 1"
"VIRMA","9.872e-7","Peripheral","vir like m6A methyltransferase associated"
"DZIP3","9.864e-7","Peripheral","DAZ interacting zinc finger protein 3"
"RAB9B","9.856e-7","Peripheral","RAB9B, member RAS oncogene family"
"TRERF1","9.853e-7","Peripheral","transcriptional regulating factor 1"
"MAOB","9.848e-7","Peripheral","monoamine oxidase B"
"SEL1L2","9.837e-7","Peripheral","SEL1L2 adaptor subunit of ERAD E3 ligase"
"KCNK9","9.833e-7","Peripheral","potassium two pore domain channel subfamily K member 9"
"EVI5","9.832e-7","Peripheral","ecotropic viral integration site 5"
"RSF1","9.821e-7","Peripheral","remodeling and spacing factor 1"
"TSN","9.801e-7","Peripheral","translin"
"WASHC4","9.801e-7","Peripheral","WASH complex subunit 4"
"RNF165","9.799e-7","Peripheral","ring finger protein 165"
"TBX20","9.793e-7","Peripheral","T-box transcription factor 20"
"RPL24","9.792e-7","Peripheral","ribosomal protein L24"
"ATP6V1B1","9.791e-7","Peripheral","ATPase H+ transporting V1 subunit B1"
"LSM1","9.791e-7","Peripheral","LSM1 homolog, mRNA degradation associated"
"KCNIP1","9.783e-7","Peripheral","potassium voltage-gated channel interacting protein 1"
"ISY1-RAB43","9.782e-7","Peripheral","ISY1-RAB43 readthrough"
"CA4","9.77e-7","Peripheral","carbonic anhydrase 4"
"RPL21","9.765e-7","Peripheral","ribosomal protein L21"
"LRG1","9.763e-7","Peripheral","leucine rich alpha-2-glycoprotein 1"
"PRCP","9.752e-7","Peripheral","prolylcarboxypeptidase"
"LRRC46","9.736e-7","Peripheral","leucine rich repeat containing 46"
"UTP11","9.733e-7","Peripheral","UTP11 small subunit processome component"
"UTP23","9.73e-7","Peripheral","UTP23 small subunit processome component"
"NOB1","9.727e-7","Peripheral","NIN1 (RPN12) binding protein 1 homolog"
"UGT2A3","9.727e-7","Peripheral","UDP glucuronosyltransferase family 2 member A3"
"RPGRIP1L","9.727e-7","Peripheral","RPGRIP1 like"
"PIN4","9.722e-7","Peripheral","peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
"YTHDC1","9.721e-7","Peripheral","YTH domain containing 1"
"MCHR1","9.716e-7","Peripheral","melanin concentrating hormone receptor 1"
"PHF20L1","9.712e-7","Peripheral","PHD finger protein 20 like 1"
"CCDC12","9.709e-7","Peripheral","coiled-coil domain containing 12"
"SLC40A1","9.707e-7","Peripheral","solute carrier family 40 member 1"
"WDR20","9.699e-7","Peripheral","WD repeat domain 20"
"TIAF1","9.693e-7","Peripheral","TGFB1-induced anti-apoptotic factor 1"
"OPRL1","9.682e-7","Peripheral","opioid related nociceptin receptor 1"
"AK7","9.681e-7","Peripheral","adenylate kinase 7"
"TREML1","9.679e-7","Peripheral","triggering receptor expressed on myeloid cells like 1"
"FGD3","9.675e-7","Peripheral","FYVE, RhoGEF and PH domain containing 3"
"EHD1","9.672e-7","Peripheral","EH domain containing 1"
"NDRG2","9.671e-7","Peripheral","NDRG family member 2"
"RPL38","9.665e-7","Peripheral","ribosomal protein L38"
"FBXL12","9.664e-7","Peripheral","F-box and leucine rich repeat protein 12"
"FBXO27","9.664e-7","Peripheral","F-box protein 27"
"FBXL16","9.664e-7","Peripheral","F-box and leucine rich repeat protein 16"
"LRRIQ3","9.653e-7","Peripheral","leucine rich repeats and IQ motif containing 3"
"DFFA","9.648e-7","Peripheral","DNA fragmentation factor subunit alpha"
"SSTR1","9.646e-7","Peripheral","somatostatin receptor 1"
"TMED6","9.638e-7","Peripheral","transmembrane p24 trafficking protein 6"
"SOX3","9.627e-7","Peripheral","SRY-box transcription factor 3"
"SLC7A6","9.626e-7","Peripheral","solute carrier family 7 member 6"
"HOXD10","9.623e-7","Peripheral","homeobox D10"
"KANK1","9.62e-7","Peripheral","KN motif and ankyrin repeat domains 1"
"KCNJ15","9.618e-7","Peripheral","potassium inwardly rectifying channel subfamily J member 15"
"PAPLN","9.614e-7","Peripheral","papilin, proteoglycan like sulfated glycoprotein"
"INTS9","9.611e-7","Peripheral","integrator complex subunit 9"
"HADHB","9.611e-7","Peripheral","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"
"SFRP2","9.592e-7","Peripheral","secreted frizzled related protein 2"
"SAT2","9.592e-7","Peripheral","spermidine/spermine N1-acetyltransferase family member 2"
"CTPS1","9.592e-7","Peripheral","CTP synthase 1"
"DOK7","9.585e-7","Peripheral","docking protein 7"
"MACROD1","9.583e-7","Peripheral","mono-ADP ribosylhydrolase 1"
"TFDP3","9.583e-7","Peripheral","transcription factor Dp family member 3"
"PRDM2","9.582e-7","Peripheral","PR/SET domain 2"
"KCNK3","9.579e-7","Peripheral","potassium two pore domain channel subfamily K member 3"
"SMPDL3A","9.577e-7","Peripheral","sphingomyelin phosphodiesterase acid like 3A"
"RAB40B","9.577e-7","Peripheral","RAB40B, member RAS oncogene family"
"MEP1A","9.577e-7","Peripheral","meprin A subunit alpha"
"PRRX1","9.575e-7","Peripheral","paired related homeobox 1"
"NMBR","9.573e-7","Peripheral","neuromedin B receptor"
"PEMT","9.568e-7","Peripheral","phosphatidylethanolamine N-methyltransferase"
"ALPG","9.565e-7","Peripheral","alkaline phosphatase, germ cell"
"ALPP","9.565e-7","Peripheral","alkaline phosphatase, placental"
"ANKRD2","9.565e-7","Peripheral","ankyrin repeat domain 2"
"FBXO21","9.564e-7","Peripheral","F-box protein 21"
"FSCB","9.562e-7","Peripheral","fibrous sheath CABYR binding protein"
"SLC4A8","9.558e-7","Peripheral","solute carrier family 4 member 8"
"UGT1A4","9.554e-7","Peripheral","UDP glucuronosyltransferase family 1 member A4"
"HCRT","9.554e-7","Peripheral","hypocretin neuropeptide precursor"
"MRTFB","9.552e-7","Peripheral","myocardin related transcription factor B"
"LACRT","9.55e-7","Peripheral","lacritin"
"CSRNP1","9.545e-7","Peripheral","cysteine and serine rich nuclear protein 1"
"PLCL2","9.545e-7","Peripheral","phospholipase C like 2"
"SYTL1","9.541e-7","Peripheral","synaptotagmin like 1"
"NPR3","9.535e-7","Peripheral","natriuretic peptide receptor 3"
"TMSB4X","9.533e-7","Peripheral","thymosin beta 4 X-linked"
"CSDC2","9.525e-7","Peripheral","cold shock domain containing C2"
"SYNRG","9.524e-7","Peripheral","synergin gamma"
"KLHL11","9.513e-7","Peripheral","kelch like family member 11"
"RAB40A","9.512e-7","Peripheral","RAB40A, member RAS oncogene family"
"TSHB","9.512e-7","Peripheral","thyroid stimulating hormone subunit beta"
"CXADR","9.509e-7","Peripheral","CXADR Ig-like cell adhesion molecule"
"BTN1A1","9.506e-7","Peripheral","butyrophilin subfamily 1 member A1"
"PHKG2","9.503e-7","Peripheral","phosphorylase kinase catalytic subunit gamma 2"
"ARSF","9.487e-7","Peripheral","arylsulfatase F"
"ARSH","9.487e-7","Peripheral","arylsulfatase family member H"
"ARSD","9.487e-7","Peripheral","arylsulfatase D"
"ARSL","9.487e-7","Peripheral","arylsulfatase L"
"TRAPPC5","9.475e-7","Peripheral","trafficking protein particle complex subunit 5"
"SMTNL1","9.472e-7","Peripheral","smoothelin like 1"
"RMND5A","9.463e-7","Peripheral","required for meiotic nuclear division 5 homolog A"
"GID8","9.458e-7","Peripheral","GID complex subunit 8 homolog"
"MLLT10","9.453e-7","Peripheral","MLLT10 histone lysine methyltransferase DOT1L cofactor"
"U2AF1L4","9.449e-7","Peripheral","U2 small nuclear RNA auxiliary factor 1 like 4"
"ANO1","9.448e-7","Peripheral","anoctamin 1"
"GABPA","9.441e-7","Peripheral","GA binding protein transcription factor subunit alpha"
"DUSP29","9.438e-7","Peripheral","dual specificity phosphatase 29"
"STYXL2","9.438e-7","Peripheral","serine/threonine/tyrosine interacting like 2"
"PEDS1","9.438e-7","Peripheral","plasmanylethanolamine desaturase 1"
"BBS5","9.434e-7","Peripheral","Bardet-Biedl syndrome 5"
"PIGP","9.432e-7","Peripheral","phosphatidylinositol glycan anchor biosynthesis class P"
"KCNQ5","9.426e-7","Peripheral","potassium voltage-gated channel subfamily Q member 5"
"RPL17","9.423e-7","Peripheral","ribosomal protein L17"
"RIOK2","9.419e-7","Peripheral","RIO kinase 2"
"PCSK2","9.416e-7","Peripheral","proprotein convertase subtilisin/kexin type 2"
"LYAR","9.414e-7","Peripheral","Ly1 antibody reactive"
"TRIM67","9.414e-7","Peripheral","tripartite motif containing 67"
"UGT1A3","9.414e-7","Peripheral","UDP glucuronosyltransferase family 1 member A3"
"FOXF1","9.403e-7","Peripheral","forkhead box F1"
"ATP8B1","9.401e-7","Peripheral","ATPase phospholipid transporting 8B1"
"AP4S1","9.397e-7","Peripheral","adaptor related protein complex 4 subunit sigma 1"
"RAB39A","9.395e-7","Peripheral","RAB39A, member RAS oncogene family"
"ZNF629","9.388e-7","Peripheral","zinc finger protein 629"
"STAU1","9.385e-7","Peripheral","staufen double-stranded RNA binding protein 1"
"SPRYD3","9.382e-7","Peripheral","SPRY domain containing 3"
"HJURP","9.38e-7","Peripheral","Holliday junction recognition protein"
"GUK1","9.379e-7","Peripheral","guanylate kinase 1"
"RPF1","9.376e-7","Peripheral","ribosome production factor 1 homolog"
"TDRD9","9.374e-7","Peripheral","tudor domain containing 9"
"MYO19","9.368e-7","Peripheral","myosin XIX"
"GLRB","9.366e-7","Peripheral","glycine receptor beta"
"PBXIP1","9.356e-7","Peripheral","PBX homeobox interacting protein 1"
"AK2","9.352e-7","Peripheral","adenylate kinase 2"
"RPS10-NUDT3","9.351e-7","Peripheral","RPS10-NUDT3 readthrough"
"PACSIN2","9.347e-7","Peripheral","protein kinase C and casein kinase substrate in neurons 2"
"POTEB2","9.343e-7","Peripheral","POTE ankyrin domain family member B2"
"NOC3L","9.34e-7","Peripheral","NOC3 like DNA replication regulator"
"UPP1","9.33e-7","Peripheral","uridine phosphorylase 1"
"WBP1","9.323e-7","Peripheral","WW domain binding protein 1"
"PRRG2","9.323e-7","Peripheral","proline rich and Gla domain 2"
"PRRG4","9.323e-7","Peripheral","proline rich and Gla domain 4"
"SOST","9.32e-7","Peripheral","sclerostin"
"CEP170","9.318e-7","Peripheral","centrosomal protein 170"
"DNAL1","9.318e-7","Peripheral","dynein axonemal light chain 1"
"ENKUR","9.315e-7","Peripheral","enkurin, TRPC channel interacting protein"
"YTHDC2","9.307e-7","Peripheral","YTH domain containing 2"
"FBXL18","9.307e-7","Peripheral","F-box and leucine rich repeat protein 18"
"MRPL17","9.304e-7","Peripheral","mitochondrial ribosomal protein L17"
"HSD11B1","9.3e-7","Peripheral","hydroxysteroid 11-beta dehydrogenase 1"
"KCNH1","9.295e-7","Peripheral","potassium voltage-gated channel subfamily H member 1"
"RAB40AL","9.29e-7","Peripheral","RAB40A like"
"NUDT21","9.267e-7","Peripheral","nudix hydrolase 21"
"KMT5B","9.264e-7","Peripheral","lysine methyltransferase 5B"
"INSM1","9.263e-7","Peripheral","INSM transcriptional repressor 1"
"COA5","9.262e-7","Peripheral","cytochrome c oxidase assembly factor 5"
"SYNPO2L","9.261e-7","Peripheral","synaptopodin 2 like"
"SCAF8","9.258e-7","Peripheral","SR-related CTD associated factor 8"
"ALKBH8","9.257e-7","Peripheral","alkB homolog 8, tRNA methyltransferase"
"DTD1","9.255e-7","Peripheral","D-aminoacyl-tRNA deacylase 1"
"NOP53","9.254e-7","Peripheral","NOP53 ribosome biogenesis factor"
"INSIG2","9.251e-7","Peripheral","insulin induced gene 2"
"UFL1","9.25e-7","Peripheral","UFM1 specific ligase 1"
"NMRK2","9.249e-7","Peripheral","nicotinamide riboside kinase 2"
"TCERG1L","9.245e-7","Peripheral","transcription elongation regulator 1 like"
"POLRMT","9.245e-7","Peripheral","RNA polymerase mitochondrial"
"CEBPZ","9.241e-7","Peripheral","CCAAT enhancer binding protein zeta"
"TSPEAR","9.22e-7","Peripheral","thrombospondin type laminin G domain and EAR repeats"
"PPEF1","9.217e-7","Peripheral","protein phosphatase with EF-hand domain 1"
"SDR42E1","9.217e-7","Peripheral","short chain dehydrogenase/reductase family 42E, member 1"
"PIGT","9.211e-7","Peripheral","phosphatidylinositol glycan anchor biosynthesis class T"
"DIXDC1","9.207e-7","Peripheral","DIX domain containing 1"
"MIEF1","9.202e-7","Peripheral","mitochondrial elongation factor 1"
"ARID5A","9.199e-7","Peripheral","AT-rich interaction domain 5A"
"UGT2B10","9.194e-7","Peripheral","UDP glucuronosyltransferase family 2 member B10"
"GPRASP1","9.192e-7","Peripheral","G protein-coupled receptor associated sorting protein 1"
"RCL1","9.192e-7","Peripheral","RNA terminal phosphate cyclase like 1"
"PLK5","9.192e-7","Peripheral","polo like kinase 5 (inactive)"
"ABCG1","9.192e-7","Peripheral","ATP binding cassette subfamily G member 1"
"GATA5","9.186e-7","Peripheral","GATA binding protein 5"
"GANC","9.184e-7","Peripheral","glucosidase alpha, neutral C"
"PCMT1","9.184e-7","Peripheral","protein-L-isoaspartate (D-aspartate) O-methyltransferase"
"UGT2B4","9.181e-7","Peripheral","UDP glucuronosyltransferase family 2 member B4"
"PLD4","9.173e-7","Peripheral","phospholipase D family member 4"
"AKR1C2","9.172e-7","Peripheral","aldo-keto reductase family 1 member C2"
"NME4","9.171e-7","Peripheral","NME/NM23 nucleoside diphosphate kinase 4"
"MTCH2","9.17e-7","Peripheral","mitochondrial carrier 2"
"HSD17B8","9.168e-7","Peripheral","hydroxysteroid 17-beta dehydrogenase 8"
"UGT2B15","9.163e-7","Peripheral","UDP glucuronosyltransferase family 2 member B15"
"MYBPC2","9.16e-7","Peripheral","myosin binding protein C2"
"AK8","9.148e-7","Peripheral","adenylate kinase 8"
"SEMA5B","9.145e-7","Peripheral","semaphorin 5B"
"ID4","9.145e-7","Peripheral","inhibitor of DNA binding 4, HLH protein"
"PCCB","9.142e-7","Peripheral","propionyl-CoA carboxylase subunit beta"
"PAEP","9.141e-7","Peripheral","progestagen associated endometrial protein"
"RRP7A","9.139e-7","Peripheral","ribosomal RNA processing 7 homolog A"
"ROPN1L","9.135e-7","Peripheral","rhophilin associated tail protein 1 like"
"TMED5","9.135e-7","Peripheral","transmembrane p24 trafficking protein 5"
"PNPLA7","9.135e-7","Peripheral","patatin like phospholipase domain containing 7"
"TRAPPC8","9.133e-7","Peripheral","trafficking protein particle complex subunit 8"
"KCTD19","9.132e-7","Peripheral","potassium channel tetramerization domain containing 19"
"PWWP2A","9.123e-7","Peripheral","PWWP domain containing 2A"
"MAGEB2","9.123e-7","Peripheral","MAGE family member B2"
"NPHP3","9.121e-7","Peripheral","nephrocystin 3"
"GUSB","9.118e-7","Peripheral","glucuronidase beta"
"BAIAP2L2","9.118e-7","Peripheral","BAR/IMD domain containing adaptor protein 2 like 2"
"ESS2","9.114e-7","Peripheral","ess-2 splicing factor homolog"
"NDP","9.114e-7","Peripheral","norrin cystine knot growth factor NDP"
"EIF2D","9.114e-7","Peripheral","eukaryotic translation initiation factor 2D"
"GAA","9.111e-7","Peripheral","alpha glucosidase"
"CNTROB","9.11e-7","Peripheral","centrobin, centriole duplication and spindle assembly protein"
"GRHL2","9.105e-7","Peripheral","grainyhead like transcription factor 2"
"SFTPA2","9.096e-7","Peripheral","surfactant protein A2"
"CD70","9.092e-7","Peripheral","CD70 molecule"
"ABHD5","9.088e-7","Peripheral","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
"INTS11","9.087e-7","Peripheral","integrator complex subunit 11"
"BTF3L4","9.086e-7","Peripheral","basic transcription factor 3 like 4"
"IGFBP2","9.084e-7","Peripheral","insulin like growth factor binding protein 2"
"PAXX","9.083e-7","Peripheral","PAXX non-homologous end joining factor"
"ZSWIM7","9.083e-7","Peripheral","zinc finger SWIM-type containing 7"
"NBAS","9.076e-7","Peripheral","NBAS subunit of NRZ tethering complex"
"GNRHR","9.072e-7","Peripheral","gonadotropin releasing hormone receptor"
"GCHFR","9.072e-7","Peripheral","GTP cyclohydrolase I feedback regulator"
"PPM1K","9.071e-7","Peripheral","protein phosphatase, Mg2+/Mn2+ dependent 1K"
"FAXDC2","9.066e-7","Peripheral","fatty acid hydroxylase domain containing 2"
"ETAA1","9.065e-7","Peripheral","ETAA1 activator of ATR kinase"
"FBXO15","9.062e-7","Peripheral","F-box protein 15"
"NARF","9.061e-7","Peripheral","nuclear prelamin A recognition factor"
"DUSP13","9.061e-7","Peripheral","dual specificity phosphatase 13"
"MLIP","9.061e-7","Peripheral","muscular LMNA interacting protein"
"PGGT1B","9.058e-7","Peripheral","protein geranylgeranyltransferase type I subunit beta"
"MARVELD2","9.056e-7","Peripheral","MARVEL domain containing 2"
"ADGRB3","9.052e-7","Peripheral","adhesion G protein-coupled receptor B3"
